SNo,States,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Composite
1,Kerala,83,80,72,80,63,89,100,62,60,69,75,65,69,53,77,80,75
2,Himachal Pradesh,80,52,78,74,62,85,100,78,61,78,79,77,62,,68,73,74
3,Tamil Nadu,86,66,81,69,59,87,100,71,71,74,79,78,61,11,63,71,74
4,Andhra Pradesh,81,52,77,50,58,92,100,67,52,74,78,84,63,79,69,77,72
5,Goa,83,78,72,71,55,100,100,76,68,75,89,47,44,50,59,63,72
6,Karnataka,68,53,78,64,57,85,100,66,64,67,78,89,62,60,67,76,72
7,Uttarakhand,74,61,77,70,46,85,100,63,56,77,76,82,60,,64,86,72
8,Sikkim,80,69,62,58,58,89,100,71,52,61,85,76,65,,73,72,71
9,Maharashtra,66,44,83,64,51,90,100,62,66,71,87,82,58,57,52,69,70
10,Gujarat,66,46,86,52,49,93,94,64,72,64,87,50,67,57,61,82,69
11,Telangana,68,50,67,63,41,96,100,73,59,67,76,73,43,,81,71,69
12,Mizoram,80,72,79,60,54,85,100,51,32,64,61,87,66,,48,81,68
13,Punjab,69,73,77,60,45,66,100,57,69,68,91,71,51,,48,76,68
14,Haryana,69,58,72,64,43,80,100,59,66,68,81,77,51,,48,71,67
15,Tripura,82,52,67,42,39,82,83,57,35,85,67,99,41,,69,80,65
16,Manipur,60,64,68,63,41,87,96,36,35,70,65,89,57,,60,69,64
17,Madhya Pradesh,44,43,62,45,55,88,86,60,37,51,81,78,49,,84,66,62
18,West Bengal,59,46,76,54,41,81,98,57,53,71,45,79,39,50,53,81,62
19,Chhattisgarh,49,37,60,55,64,89,78,64,36,72,78,64,38,,65,71,61
20,Nagaland,73,64,61,39,48,87,69,48,30,46,48,91,69,,63,79,61
21,Odisha,41,42,67,45,46,86,80,48,46,66,70,73,70,82,83,59,61
22,Arunachal Pradesh,54,66,64,41,37,67,85,50,31,69,39,77,58,,93,64,60
23,Meghalaya,77,37,70,48,51,75,50,63,25,88,51,73,62,,64,72,60
24,Rajasthan,63,53,70,60,39,54,100,57,45,45,81,74,49,,43,73,60
25,Uttar Pradesh,44,41,60,51,50,83,100,53,42,41,77,79,39,,61,79,60
26,Assam,51,41,59,43,25,64,98,50,39,65,55,66,53,,78,62,57
27,Jharkhand,36,19,74,45,51,83,77,54,37,65,71,55,25,,71,70,56
28,Bihar,32,31,66,29,48,91,78,50,24,48,67,59,16,,62,73,52
